"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GGT5",2.79826415190343e-17,0.549665955421358,0.643,0.15,5.28871924709748e-13,"17","GGT5"
"LOX",3.86532080161566e-17,0.51860822537614,0.5,0.099,7.3054563150536e-13,"17","LOX"
"DCN3",5.49118095635408e-17,1.09324748115293,0.952,0.411,1.03783320075092e-12,"17","DCN"
"PDLIM7",6.44612311470623e-17,0.946980859176394,0.786,0.279,1.21831726867948e-12,"17","PDLIM7"
"CLIC4",5.70558927499677e-16,0.753256270022223,0.786,0.27,1.07835637297439e-11,"17","CLIC4"
"C1QB2",5.79976185601249e-16,1.00662672592383,0.952,0.424,1.09615499078636e-11,"17","C1QB"
"MYL93",7.90089313029081e-16,1.33919668566407,0.976,0.837,1.49326880162496e-11,"17","MYL9"
"ENG",9.41153617408184e-16,0.615944374167933,0.643,0.168,1.77878033690147e-11,"17","ENG"
"DPYSL3",9.54610818632292e-16,0.890899543712768,0.69,0.214,1.80421444721503e-11,"17","DPYSL3"
"TPM1",1.07917828592791e-15,1.08512563892364,1,0.849,2.03964696040375e-11,"17","TPM1"
"MEG3",1.2933036569528e-15,0.589565871062349,0.524,0.116,2.44434391164079e-11,"17","MEG3"
"LTBP21",1.77662333259216e-15,0.575841110752608,0.595,0.148,3.35781809859919e-11,"17","LTBP2"
"TUBB6",2.23028789811295e-15,0.634016725034702,0.548,0.131,4.21524412743348e-11,"17","TUBB6"
"CFH",3.43917383541647e-15,0.520826878016941,0.5,0.11,6.50003854893712e-11,"17","CFH"
"CRIP2",6.30838474984401e-15,0.57393292392611,0.571,0.139,1.19228471772052e-10,"17","CRIP2"
"CXCL14",7.49177707117252e-15,1.18290490390222,0.5,0.121,1.41594586645161e-10,"17","CXCL14"
"RAI14",7.72445779776394e-15,0.514415664773388,0.595,0.152,1.45992252377738e-10,"17","RAI14"
"FCGR2A",8.86637659061981e-15,0.508129401925957,0.571,0.138,1.67574517562714e-10,"17","FCGR2A"
"FHL3",9.68038581132747e-15,0.451864873592042,0.5,0.111,1.82959291834089e-10,"17","FHL3"
"CCN11",1.16063262256914e-14,0.831940150777251,0.738,0.24,2.19359565665568e-10,"17","CCN1"
"SERPINF11",1.38995303254333e-14,0.7740288993114,0.714,0.233,2.62701123150689e-10,"17","SERPINF1"
"PLXDC2",1.51786401729687e-14,0.536169401636558,0.548,0.131,2.86876299269108e-10,"17","PLXDC2"
"CSRP12",1.8155254249841e-14,0.895682039273973,0.952,0.533,3.43134305321995e-10,"17","CSRP1"
"LAMB1",1.85773164174252e-14,0.875507543376106,0.881,0.395,3.51111280289336e-10,"17","LAMB1"
"TNS1",1.9641954769221e-14,0.550430094761727,0.524,0.123,3.71232945138277e-10,"17","TNS1"
"CMTM3",1.79567482487682e-13,0.563817713750781,0.595,0.17,3.39382541901719e-09,"17","CMTM3"
"ITGAV",2.13477610748568e-13,0.900091585188547,0.857,0.385,4.03472684314794e-09,"17","ITGAV"
"CAVIN13",2.33865753466823e-13,0.908149308825682,0.81,0.332,4.42006274052296e-09,"17","CAVIN1"
"GBP4",2.92152156737608e-13,0.551851023868827,0.571,0.155,5.52167576234078e-09,"17","GBP4"
"CHPF1",3.58268890489661e-13,0.955671711536793,0.905,0.453,6.77128203025459e-09,"17","CHPF"
"SULF21",4.67438695515721e-13,0.756361536382538,0.857,0.386,8.83459134524712e-09,"17","SULF2"
"MSN",5.03630686964408e-13,0.701488569543806,0.667,0.217,9.5186199836273e-09,"17","MSN"
"CD14",5.45337903969208e-13,0.55425687430224,0.643,0.187,1.0306886385018e-08,"17","CD14"
"EMP3",6.12839739351234e-13,0.647413009442479,0.595,0.166,1.15826710737383e-08,"17","EMP3"
"TGM22",6.40933907450473e-13,0.876610794175247,0.929,0.426,1.21136508508139e-08,"17","TGM2"
"MT1E",7.99728044575467e-13,0.6010603291059,0.667,0.212,1.51148600424763e-08,"17","MT1E"
"HLA-DQA11",8.05191596546832e-13,0.745405405530522,0.69,0.237,1.52181211747351e-08,"17","HLA-DQA1"
"ACP5",1.30645059943162e-12,0.774322004387915,0.714,0.238,2.46919163292576e-08,"17","ACP5"
"STOM",1.53088950813886e-12,0.604510453583878,0.619,0.192,2.89338117038244e-08,"17","STOM"
"ZYX3",1.8140593580237e-12,0.788041316086003,0.952,0.54,3.42857218666479e-08,"17","ZYX"
"FAM114A1",2.1946946905789e-12,0.477553983398952,0.524,0.139,4.14797296519411e-08,"17","FAM114A1"
"TMEM173",2.39161592257671e-12,0.515645979517131,0.595,0.178,4.52015409366998e-08,"17","TMEM173"
"FCER1G1",2.59229570725152e-12,0.74626345033517,0.738,0.277,4.89943888670537e-08,"17","FCER1G"
"AIF1",3.09119451193288e-12,0.461038141110306,0.524,0.139,5.84235762755314e-08,"17","AIF1"
"CYTOR",3.51865186832527e-12,0.548737925451403,0.69,0.23,6.65025203113476e-08,"17","CYTOR"
"CLEC11A",5.38267537260656e-12,0.478676516138986,0.548,0.154,1.01732564542264e-07,"17","CLEC11A"
"FAM20C",6.06283548156034e-12,0.476340797807607,0.548,0.152,1.1458759060149e-07,"17","FAM20C"
"PLEKHO1",6.47045803627792e-12,0.536425107954293,0.548,0.155,1.22291656885653e-07,"17","PLEKHO1"
"ANXA61",1.38281261432865e-11,0.695616006126621,0.81,0.342,2.61351584108115e-07,"17","ANXA6"
"EFEMP2",1.89681252495165e-11,0.65726364054657,0.548,0.165,3.58497567215862e-07,"17","EFEMP2"
"IFITM21",1.95275725552742e-11,0.766366136820634,0.738,0.322,3.69071121294683e-07,"17","IFITM2"
"KCTD12",2.26762468240705e-11,0.447458976971221,0.548,0.155,4.28581064974933e-07,"17","KCTD12"
"IFI303",2.35600198221487e-11,0.753169233389853,0.929,0.705,4.45284374638611e-07,"17","IFI30"
"LTBP1",2.68545340139236e-11,0.654348113412002,0.619,0.212,5.07550692863156e-07,"17","LTBP1"
"PLAUR1",2.75451926481626e-11,0.664223725939592,0.714,0.278,5.20604141050273e-07,"17","PLAUR"
"LAMC1",3.2025504282261e-11,0.623818633028117,0.762,0.304,6.05282030934732e-07,"17","LAMC1"
"PECAM1",6.4793562630756e-11,0.611685505876581,0.571,0.18,1.22459833372129e-06,"17","PECAM1"
"GASK1B",8.18261123863345e-11,0.447050145327039,0.524,0.152,1.54651352410172e-06,"17","GASK1B"
"FCGR3A",8.56487434170605e-11,0.487557896050287,0.548,0.165,1.61876125058244e-06,"17","FCGR3A"
"CTSC1",1.21600869101115e-10,0.797464450921708,0.857,0.431,2.29825642601108e-06,"17","CTSC"
"C1QC2",1.34191073282867e-10,0.768542841619198,0.69,0.272,2.53621128504619e-06,"17","C1QC"
"LAPTM52",1.52701421118339e-10,0.71398342391649,0.857,0.441,2.8860568591366e-06,"17","LAPTM5"
"APOL1",1.9886193579941e-10,0.635029498007771,0.69,0.269,3.75849058660885e-06,"17","APOL1"
"ACTN1",2.07515215233083e-10,0.806721756850946,0.929,0.603,3.92203756790526e-06,"17","ACTN1"
"ITGB1",2.84432953661709e-10,0.758991900496205,1,0.895,5.3757828242063e-06,"17","ITGB1"
"RCN3",3.21940508066848e-10,0.428897067510098,0.571,0.181,6.08467560246343e-06,"17","RCN3"
"CALU",3.63716644606781e-10,0.750000240070254,0.881,0.512,6.87424458306817e-06,"17","CALU"
"SPARCL11",4.56780772485377e-10,0.371349183803238,0.524,0.151,8.63315659997364e-06,"17","SPARCL1"
"APOE3",4.7325884612418e-10,0.860603414278017,0.929,0.67,8.944592191747e-06,"17","APOE"
"FBLN12",5.93143442598103e-10,0.660875998089222,0.738,0.313,1.12104110651042e-05,"17","FBLN1"
"KLF2",6.69959467289197e-10,0.407164655507555,0.524,0.156,1.26622339317658e-05,"17","KLF2"
"MMP121",9.80571773369434e-10,0.712687306064301,0.619,0.221,1.85328065166823e-05,"17","MMP12"
"CD551",1.31553466272642e-09,0.581244636999952,0.714,0.301,2.48636051255293e-05,"17","CD55"
"C1QA3",1.97129175500804e-09,0.803667001156577,0.857,0.452,3.72574141696519e-05,"17","C1QA"
"ANXA12",2.16393662325508e-09,0.623980822191916,0.69,0.278,4.08984021795209e-05,"17","ANXA1"
"CNN22",2.73268313274786e-09,0.637375737124617,0.976,0.779,5.16477112089346e-05,"17","CNN2"
"ETS1",2.76428375680425e-09,0.504182651654703,0.548,0.188,5.22449630036004e-05,"17","ETS1"
"PPIC",2.93395160567733e-09,0.448984831202182,0.571,0.199,5.54516853473015e-05,"17","PPIC"
"HLA-DPB13",3.09251306851109e-09,0.673620731597671,0.857,0.499,5.84484969948596e-05,"17","HLA-DPB1"
