"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PLEKHO1",2.00926902844567e-05,0.308685218746093,0.738,0.625,0.420941861459368,"13","PLEKHO1"
"PKD11",2.25898633632791e-05,0.309160433942088,0.851,0.704,0.473257637460697,"13","PKD1"
"PFKFB42",2.29759022613879e-05,0.358120560672717,0.525,0.387,0.481345152376076,"13","PFKFB4"
"ENPP53",2.51239315162599e-05,0.271235828591583,0.943,0.794,0.526346365265645,"13","ENPP5"
"AK2",2.58007491400748e-05,0.276586749688917,0.816,0.683,0.540525694484567,"13","AK2"
"FMN22",2.61022149509349e-05,0.326996972590159,0.759,0.619,0.546841403222085,"13","FMN2"
"AC092958.13",2.71391672377369e-05,0.27966265113486,0.837,0.66,0.568565553630587,"13","AC092958.1"
"UBE2B2",2.99417105505955e-05,0.270494003718553,0.837,0.693,0.627278836034975,"13","UBE2B"
"PFKP3",3.56024504496937e-05,0.252249273116378,0.759,0.594,0.745871336921084,"13","PFKP"
"CHPT13",4.1725707583518e-05,0.315973042859181,0.688,0.573,0.874153573874703,"13","CHPT1"
"DARS1",4.68361305502364e-05,0.317195575615215,0.787,0.648,0.981216935027453,"13","DARS"
"BCAT21",5.2839098865232e-05,0.256068330382869,0.858,0.725,1,"13","BCAT2"
"EGLN11",5.6760060477506e-05,0.252102018898229,0.702,0.558,1,"13","EGLN1"
"GALNT101",8.80610456733078e-05,0.281871830325324,0.73,0.594,1,"13","GALNT10"
"CPEB41",0.000112782326854337,0.32006489383193,0.574,0.447,1,"13","CPEB4"
"SLC15A42",0.000118297163464667,0.345441907513222,0.518,0.4,1,"13","SLC15A4"
"CCL22",0.000149247330089709,0.315511966556494,0.596,0.463,1,"13","CCL2"
"SNHG14",0.000194869551272196,0.291535320173884,0.787,0.674,1,"13","SNHG14"
"IER23",0.000218151224170606,0.269098402615266,0.603,0.482,1,"13","IER2"
"MT1M4",0.00037639137025054,0.307808993336111,0.965,0.817,1,"13","MT1M"
"KLHL212",0.000625247208117485,0.273868262925773,0.539,0.417,1,"13","KLHL21"
"ENPP41",0.000741158779574728,0.287599421839251,0.582,0.471,1,"13","ENPP4"
"ALDOA1",0.000865405977885654,0.253543739237434,0.695,0.582,1,"13","ALDOA"
"MXI12",0.000958393262576662,0.274797483689608,0.553,0.432,1,"13","MXI1"
"TMEM1584",1.98704442103573e-26,0.740688464311901,1,0.861,4.16285806206986e-22,"14","TMEM158"
"COL1A14",1.06767672622762e-24,0.74119688596476,0.968,0.624,2.23678274144685e-20,"14","COL1A1"
"TNFRSF12A3",1.32917052199331e-24,0.806165709128935,0.968,0.831,2.78461224357598e-20,"14","TNFRSF12A"
"NNMT4",1.52503060962492e-24,0.726337296897382,0.984,0.771,3.19493912716421e-20,"14","NNMT"
"SLN6",1.28064175527213e-23,0.807483854212731,0.992,0.785,2.68294447729512e-19,"14","SLN"
"COL4A12",1.90174917729219e-23,0.587338939561566,0.968,0.751,3.98416452642713e-19,"14","COL4A1"
"COL4A22",2.29092223232405e-23,0.522496624361853,0.976,0.721,4.79948207671889e-19,"14","COL4A2"
"SCG21",5.04278304552489e-23,0.683645778998848,1,0.893,1.05646304803747e-18,"14","SCG2"
"CORO2B2",1.55681021794261e-19,0.622435076111153,0.976,0.735,3.26151740658976e-15,"14","CORO2B"
"HLA-DPA13",2.13054215485461e-19,0.626472692822203,1,0.892,4.46348581442041e-15,"14","HLA-DPA1"
