"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"PSPH1",9.71923876968731e-07,0.36487328443816,0.61,0.303,0.0154982981421434,"12","PSPH"
"CC2D1A",9.72864838510309e-07,0.353511712902746,0.627,0.32,0.0155133027148854,"12","CC2D1A"
"IMPAD12",9.76058360248676e-07,0.459256996847574,0.881,0.68,0.0155642266125254,"12","IMPAD1"
"ST8SIA1",9.76283747959194e-07,0.341069575933465,0.593,0.289,0.0155678206449573,"12","ST8SIA1"
"TUSC1",1.01418272217871e-06,0.332726096241905,0.525,0.239,0.0161721576878618,"12","TUSC1"
"HSPH13",1.12623312112449e-06,0.371228881661619,0.949,0.809,0.0179589133494511,"12","HSPH1"
"PTPN33",1.12687515363199e-06,0.367638112768434,0.695,0.357,0.0179691511998157,"12","PTPN3"
"CISH",1.14159775270066e-06,0.31553793078861,0.644,0.318,0.0182039177645647,"12","CISH"
"KPNA6",1.16342714701374e-06,0.315581996404392,0.508,0.231,0.0185520092862811,"12","KPNA6"
"SNX30",1.18538259837141e-06,0.358661736565925,0.746,0.404,0.0189021109136305,"12","SNX30"
"TRAK2",1.20260314836918e-06,0.443061626422686,0.78,0.477,0.0191767098038949,"12","TRAK2"
"CPT1B2",1.21692697394804e-06,0.378080080749278,0.695,0.358,0.0194051175265754,"12","CPT1B"
"HSF4",1.23289876580578e-06,0.322743665664065,0.61,0.295,0.0196598037195389,"12","HSF4"
"STK363",1.23715232347552e-06,0.405751646547669,0.712,0.401,0.0197276309501406,"12","STK36"
"PCK2",1.26134166589767e-06,0.345744766622163,0.695,0.363,0.0201133542044042,"12","PCK2"
"GPRC5C2",1.28957016703155e-06,0.307098544241903,0.576,0.268,0.0205634858834851,"12","GPRC5C"
"LPCAT1",1.30323664108835e-06,0.461538441253112,0.881,0.727,0.0207814114787948,"12","LPCAT1"
"ATG1011",1.3056113875628e-06,0.484229057980274,0.763,0.519,0.0208192791860765,"12","ATG101"
"UBE3C",1.34039808447881e-06,0.378794369431598,0.881,0.575,0.021373987855099,"12","UBE3C"
"CA122",1.34536808304749e-06,0.343626035623471,0.576,0.279,0.0214532394522753,"12","CA12"
"LRRC75B3",1.35108502433824e-06,0.320971597718926,0.644,0.323,0.0215444017980977,"12","LRRC75B"
"SMYD22",1.39565309260582e-06,0.422934594759946,0.797,0.521,0.0222550842146925,"12","SMYD2"
"CNST",1.39685782303664e-06,0.349757906583286,0.678,0.361,0.0222742948461423,"12","CNST"
"HMBS",1.40209267064628e-06,0.331307115266765,0.508,0.233,0.0223577697261256,"12","HMBS"
"VPS13D",1.40616296500809e-06,0.362649365332865,0.661,0.341,0.022422674640019,"12","VPS13D"
"ZBTB21",1.420288177519e-06,0.290985461818673,0.508,0.229,0.022647915278718,"12","ZBTB21"
"DLG53",1.48493738273198e-06,0.496509137890385,0.814,0.558,0.0236788115050442,"12","DLG5"
"CMC4",1.50956695967824e-06,0.333360185651066,0.576,0.282,0.0240715547390292,"12","CMC4"
"PTPN14",1.54229977030489e-06,0.316919293438083,0.525,0.247,0.0245935121372818,"12","PTPN14"
"KYNU",1.54318297945073e-06,0.47944740680359,0.881,0.656,0.0246075957903213,"12","KYNU"
"TRMT61A",1.58025855073187e-06,0.297365907921407,0.525,0.242,0.0251988028499704,"12","TRMT61A"
"HTATIP21",1.60190697160623e-06,0.382622540488912,0.746,0.425,0.0255440085692329,"12","HTATIP2"
"TMEM251",1.62587828077474e-06,0.300151955834786,0.508,0.231,0.025926255065234,"12","TMEM25"
"PDRG1",1.63863239420832e-06,0.299585944676812,0.627,0.313,0.0261296321580459,"12","PDRG1"
"PPCS",1.6398861494427e-06,0.301205933902949,0.576,0.273,0.0261496245390133,"12","PPCS"
"ARHGEF163",1.66987707762383e-06,0.357975015417714,0.542,0.264,0.0266278598797897,"12","ARHGEF16"
"RALGPS21",1.69074788502763e-06,0.378293800200481,0.593,0.305,0.0269606657746507,"12","RALGPS2"
"IRF2BPL",1.72206001051796e-06,0.295076745206932,0.559,0.265,0.0274599689277193,"12","IRF2BPL"
"WDR602",1.74274131573209e-06,0.367502590203335,0.61,0.314,0.0277897530206639,"12","WDR60"
"ZBTB102",1.74602244361322e-06,0.374499626147806,0.797,0.466,0.0278420738858565,"12","ZBTB10"
"PEX6",1.74828556480977e-06,0.307356281774697,0.525,0.243,0.0278781616164565,"12","PEX6"
"RETSAT2",1.80398526846142e-06,0.407363093495135,0.729,0.416,0.0287663490908858,"12","RETSAT"
"HDHD51",1.80768230640958e-06,0.345673648761929,0.593,0.301,0.0288253020580072,"12","HDHD5"
"CARS",1.86572726819198e-06,0.461323605955285,0.814,0.539,0.0297508870185892,"12","CARS"
"RENBP2",1.88160651073135e-06,0.463110982669098,0.729,0.459,0.0300040974201222,"12","RENBP"
"MIGA2",1.88381796595738e-06,0.309303745341417,0.542,0.258,0.0300393612851563,"12","MIGA2"
"EGF3",1.88453052846466e-06,0.430990531259299,0.661,0.361,0.0300507238068975,"12","EGF"
"TKFC3",1.89380413864711e-06,0.379361382761831,0.847,0.503,0.0301986007948668,"12","TKFC"
"PRPF18",1.90178828790553e-06,0.350365382713735,0.627,0.33,0.0303259160389416,"12","PRPF18"
"PGRMC13",1.91067611813327e-06,0.509235183284409,0.847,0.661,0.0304676413797531,"12","PGRMC1"
"PACSIN33",1.97101091150419e-06,0.401171907057268,0.61,0.333,0.0314297399948459,"12","PACSIN3"
"PADI23",1.98043412279486e-06,0.506019425970522,0.847,0.568,0.0315800025220869,"12","PADI2"
"ZNF598",2.00729404495778e-06,0.47910517099582,0.746,0.473,0.0320083108408967,"12","ZNF598"
"SLC20A23",2.09074020094046e-06,0.383781023114794,0.712,0.394,0.0333389432441965,"12","SLC20A2"
"GCNT21",2.10932548326272e-06,0.307963988203603,0.542,0.261,0.0336353041561073,"12","GCNT2"
"ZNF707",2.14660012604001e-06,0.330404011312359,0.593,0.298,0.034229685609834,"12","ZNF707"
"TMEM2652",2.14853061695194e-06,0.404255616895733,0.78,0.51,0.0342604692179156,"12","TMEM265"
"RSU1",2.1518867819937e-06,0.377700042001623,0.814,0.533,0.0343139866256716,"12","RSU1"
"DDX31",2.16087019768169e-06,0.334796286348687,0.661,0.344,0.0344572361722322,"12","DDX31"
